Entity1,Relationship,Entity2
Anemia,Is_characterized_by,Low_red_blood_cell_count
Anemia,Can_be_caused_by,Iron_deficiency
Leukemia,Is_a_type_of,Blood_cancer
Leukemia,Affects,White_blood_cells
Hemophilia,Is_characterized_by,Impaired_blood_clotting
Hemophilia,Is_caused_by,Genetic_mutation
Thrombocytopenia,Is_characterized_by,Low_platelet_count
Thrombocytopenia,Can_lead_to,Excessive_bleeding
Polycythemia,Is_characterized_by,High_red_blood_cell_count
Polycythemia,Can_be_caused_by,Bone_marrow_disorder
Sickle_cell_disease,Is_characterized_by,Abnormal_hemoglobin
Sickle_cell_disease,Can_cause,Vaso-occlusive_crisis
Thalassemia,Is_a_type_of,Inherited_blood_disorder
Thalassemia,Affects,Hemoglobin_production
Von_Willebrand_disease,Is_characterized_by,Deficiency_in_clotting_protein
Von_Willebrand_disease,Can_lead_to,Easy_bruising
Anemia,Is_characterized_by,Low_red_blood_cell_count
Anemia,Can_be_caused_by,Iron_deficiency
Leukemia,Is_a_type_of,Blood_cancer
Leukemia,Affects,White_blood_cells
Hemophilia,Is_characterized_by,Impaired_blood_clotting
Hemophilia,Is_caused_by,Genetic_mutation
Thrombocytopenia,Is_characterized_by,Low_platelet_count
Thrombocytopenia,Can_lead_to,Excessive_bleeding
Polycythemia,Is_characterized_by,High_red_blood_cell_count
Polycythemia,Can_be_caused_by,Bone_marrow_disorder
Sickle_cell_disease,Is_characterized_by,Abnormal_hemoglobin
Sickle_cell_disease,Can_cause,Vaso-occlusive_crisis
Thalassemia,Is_a_type_of,Inherited_blood_disorder
Thalassemia,Affects,Hemoglobin_production
Von_Willebrand_disease,Is_characterized_by,Deficiency_in_clotting_protein
Von_Willebrand_disease,Can_lead_to,Easy_bruising
Aplastic_anemia,Is_characterized_by,Bone_marrow_failure
Aplastic_anemia,Can_be_caused_by,Autoimmune_disorder
Neutropenia,Is_characterized_by,Low_neutrophil_count
Neutropenia,Can_increase_risk_of,Bacterial_infections
Hemochromatosis,Is_characterized_by,Iron_overload
Hemochromatosis,Can_lead_to,Organ_damage
Pernicious_anemia,Is_caused_by,Vitamin_B12_deficiency
Pernicious_anemia,Can_lead_to,Neurological_symptoms
Myelodysplastic_syndrome,Is_a_group_of,Bone_marrow_disorders
Myelodysplastic_syndrome,Can_progress_to,Acute_myeloid_leukemia
Essential_thrombocythemia,Is_characterized_by,Excessive_platelet_production
Essential_thrombocythemia,Can_increase_risk_of,Blood_clots
Hemolytic_anemia,Is_characterized_by,Premature_destruction_of_red_blood_cells
Hemolytic_anemia,Can_be_caused_by,Autoimmune_factors
Lymphoma,Is_a_type_of,Blood_cancer
Lymphoma,Affects,Lymphatic_system
Multiple_myeloma,Is_a_type_of,Plasma_cell_cancer
Multiple_myeloma,Can_lead_to,Bone_lesions
Factor_V_Leiden,Is_a_type_of,Blood_clotting_disorder
Factor_V_Leiden,Increases_risk_of,Deep_vein_thrombosis
G6PD_deficiency,Is_an_enzyme_deficiency,Affecting_red_blood_cells
G6PD_deficiency,Can_cause,Hemolytic_anemia_when_triggered
Waldenstrom_macroglobulinemia,Is_a_rare_type_of,Blood_cancer
Waldenstrom_macroglobulinemia,Affects,B_lymphocytes
Idiopathic_thrombocytopenic_purpura,Is_an_autoimmune_disorder,Affecting_platelets
Idiopathic_thrombocytopenic_purpura,Can_cause,Excessive_bruising_and_bleeding
