Disease,Type,Subtype,Definition,Etiology,Risk_Factors,Pathophysiology,Symptoms,Diagnostic_Methods,Treatment_Protocols,Related_Conditions
Leukemia,Acute Myeloid Leukemia (AML),Unknown Subtype,"Cancer of myeloid blood cells, rapid growth of abnormal white blood cells",Somatic genetic alterations in hematopoietic progenitor cells,"Radiation exposure, Chemical exposure (benzene), Genetic disorders (Down syndrome), Family history, Advanced age","Altered mechanisms of self-renewal, proliferation, and differentiation","Fatigue, Frequent infections, Easy bruising/bleeding, Weight loss, Night sweats, Bone pain","CBC with differential, Peripheral blood smear, Bone marrow biopsy, Immunophenotyping, Cytogenetic analysis, Molecular testing (FLT3, NPM1, CEBPA mutations)","Induction: 7+3 regimen (cytarabine + anthracycline), Consolidation: High-dose cytarabine or stem cell transplantation",Anemia
Leukemia,Chronic Lymphocytic Leukemia (CLL),Unknown Subtype,Cancer where bone marrow makes too many lymphocytes,Unknown,"Family history, Advanced age, Environmental factors",Clonal expansion of mature B lymphocytes expressing CD5 and CD23,"Fatigue, Frequent infections, Easy bruising/bleeding, Weight loss, Night sweats, Enlarged lymph nodes","CBC with differential, Peripheral blood smear, Bone marrow biopsy, Immunophenotyping, FISH for genetic abnormalities","Watch and wait (asymptomatic), Chemoimmunotherapy (FCR), Targeted therapies (Ibrutinib, Venetoclax)",Anemia
Anemia,Iron Deficiency Anemia,Unknown Subtype,Decrease in total body iron,"Blood loss, Inadequate dietary intake","Menstruation, Gastrointestinal bleeding, Vegetarian diet, Pregnancy","Decreased iron leads to reduced hemoglobin synthesis, microcytic hypochromic RBCs","Fatigue, Shortness of breath, Pale skin, Dizziness, Chest pain (severe cases)","CBC, Peripheral blood smear, Iron studies (serum iron, ferritin, TIBC)","Oral iron supplementation, Intravenous iron (severe cases), Treat underlying cause",None
Anemia,Megaloblastic Anemia,Unknown Subtype,Caused by impaired DNA synthesis,"Vitamin B12 deficiency, Folate deficiency","Strict vegan diet, Alcoholism, Certain medications, Pernicious anemia","Impaired DNA synthesis leads to asynchronous maturation of nucleus and cytoplasm, large immature RBCs","Fatigue, Shortness of breath, Pale skin, Dizziness, Cognitive impairment (B12 deficiency)","CBC, Peripheral blood smear, Vitamin B12 and folate levels, Schilling test (for B12 deficiency)","Vitamin B12 injections, Folic acid supplementation",None
Lymphoma,Hodgkin Lymphoma (HL),Unknown Subtype,"Cancer of lymph system, characterized by Reed-Sternberg cells","Unknown, possibly related to Epstein-Barr virus","Immunosuppression, EBV infection, Family history",Orderly spread of disease from one lymph node group to another,"Painless enlarged lymph nodes, B symptoms (fever, night sweats, weight loss), Fatigue, Itching","Lymph node biopsy, Immunohistochemistry, PET-CT, Bone marrow biopsy","Early-stage: ABVD + radiation, Advanced-stage: ABVD or BEACOPP",None
Lymphoma,Non-Hodgkin Lymphoma (NHL),Unknown Subtype,Diverse group of lymphoid neoplasms,Varies by subtype,"Immunosuppression, HIV infection, Certain infections, Autoimmune diseases, Chemical exposure","Varies by subtype, generally involves uncontrolled growth of lymphocytes","Painless enlarged lymph nodes, B symptoms, Fatigue, Splenomegaly or hepatomegaly","Lymph node biopsy, Immunohistochemistry, Flow cytometry, Cytogenetic studies, PET-CT","Varies by subtype, Often includes R-CHOP chemotherapy, Radiation therapy, Stem cell transplant for relapsed/refractory cases",None
Leukemia,Acute Promyelocytic Leukemia (APL),Subtype of AML,Characterized by t(15;17) translocation and production of PML-RARα fusion protein,t(15;17) chromosomal translocation,Unknown,PML-RARα fusion protein blocks differentiation of promyelocytes,"Severe bleeding tendency, Petechiae, Ecchymoses, Gingival bleeding, Fatigue","CBC, Peripheral blood smear (hypergranular promyelocytes with Auer rods), Molecular testing for PML-RARA","ATRA + Arsenic Trioxide, Aggressive supportive care",Disseminated Intravascular Coagulation (DIC)
Thrombocytopenia,Primary Immune Thrombocytopenia (ITP),Unknown Subtype,Autoimmune disorder causing low platelet count,Autoantibodies against platelet antigens,"Unknown, sometimes follows viral infection",Accelerated platelet destruction by reticuloendothelial system,"Petechiae, Easy bruising, Prolonged bleeding from cuts, Epistaxis, Gingival bleeding","CBC, Peripheral blood smear, Bone marrow biopsy (in selected cases)","Corticosteroids, Thrombopoietin receptor agonists, Rituximab, Splenectomy (refractory cases)",None
Thrombocytopenia,Heparin-Induced Thrombocytopenia (HIT),Unknown Subtype,Complication of heparin therapy causing low platelets and increased thrombosis risk,Antibodies against platelet factor 4-heparin complexes,Heparin therapy (more common with unfractionated heparin),"Antibody-mediated platelet activation and clearance, paradoxical increase in thrombosis risk","Thrombocytopenia, Venous or arterial thrombosis","4T score, HIT antibody test (ELISA), Serotonin release assay","Discontinue all heparin, Start non-heparin anticoagulant (e.g., argatroban)","Venous thromboembolism, Arterial thrombosis"
Leukemia,Acute Myeloid Leukemia (AML),Unknown Subtype,"Cancer of myeloid blood cells, rapid growth of abnormal white blood cells",Somatic genetic alterations in hematopoietic progenitor cells,"Radiation exposure, Chemical exposure (benzene), Genetic disorders (Down syndrome), Family history, Advanced age","Altered mechanisms of self-renewal, proliferation, and differentiation","Fatigue, Frequent infections, Easy bruising/bleeding, Weight loss, Night sweats, Bone pain","CBC with differential, Peripheral blood smear, Bone marrow biopsy, Immunophenotyping, Cytogenetic analysis, Molecular testing (FLT3, NPM1, CEBPA mutations)","Induction: 7+3 regimen (cytarabine + anthracycline), Consolidation: High-dose cytarabine or stem cell transplantation",Anemia
Leukemia,Chronic Lymphocytic Leukemia (CLL),Unknown Subtype,Cancer where bone marrow makes too many lymphocytes,Unknown,"Family history, Advanced age, Environmental factors",Clonal expansion of mature B lymphocytes expressing CD5 and CD23,"Fatigue, Frequent infections, Easy bruising/bleeding, Weight loss, Night sweats, Enlarged lymph nodes","CBC with differential, Peripheral blood smear, Bone marrow biopsy, Immunophenotyping, FISH for genetic abnormalities","Watch and wait (asymptomatic), Chemoimmunotherapy (FCR), Targeted therapies (Ibrutinib, Venetoclax)",Anemia
Anemia,Iron Deficiency Anemia,Unknown Subtype,Decrease in total body iron,"Blood loss, Inadequate dietary intake","Menstruation, Gastrointestinal bleeding, Vegetarian diet, Pregnancy","Decreased iron leads to reduced hemoglobin synthesis, microcytic hypochromic RBCs","Fatigue, Shortness of breath, Pale skin, Dizziness, Chest pain (severe cases)","CBC, Peripheral blood smear, Iron studies (serum iron, ferritin, TIBC)","Oral iron supplementation, Intravenous iron (severe cases), Treat underlying cause",None
Anemia,Megaloblastic Anemia,Unknown Subtype,Caused by impaired DNA synthesis,"Vitamin B12 deficiency, Folate deficiency","Strict vegan diet, Alcoholism, Certain medications, Pernicious anemia","Impaired DNA synthesis leads to asynchronous maturation of nucleus and cytoplasm, large immature RBCs","Fatigue, Shortness of breath, Pale skin, Dizziness, Cognitive impairment (B12 deficiency)","CBC, Peripheral blood smear, Vitamin B12 and folate levels, Schilling test (for B12 deficiency)","Vitamin B12 injections, Folic acid supplementation",None
Lymphoma,Hodgkin Lymphoma (HL),Unknown Subtype,"Cancer of lymph system, characterized by Reed-Sternberg cells","Unknown, possibly related to Epstein-Barr virus","Immunosuppression, EBV infection, Family history",Orderly spread of disease from one lymph node group to another,"Painless enlarged lymph nodes, B symptoms (fever, night sweats, weight loss), Fatigue, Itching","Lymph node biopsy, Immunohistochemistry, PET-CT, Bone marrow biopsy","Early-stage: ABVD + radiation, Advanced-stage: ABVD or BEACOPP",None
Lymphoma,Non-Hodgkin Lymphoma (NHL),Unknown Subtype,Diverse group of lymphoid neoplasms,Varies by subtype,"Immunosuppression, HIV infection, Certain infections, Autoimmune diseases, Chemical exposure","Varies by subtype, generally involves uncontrolled growth of lymphocytes","Painless enlarged lymph nodes, B symptoms, Fatigue, Splenomegaly or hepatomegaly","Lymph node biopsy, Immunohistochemistry, Flow cytometry, Cytogenetic studies, PET-CT","Varies by subtype, Often includes R-CHOP chemotherapy, Radiation therapy, Stem cell transplant for relapsed/refractory cases",None
Leukemia,Acute Promyelocytic Leukemia (APL),Subtype of AML,Characterized by t(15;17) translocation and production of PML-RARα fusion protein,t(15;17) chromosomal translocation,Unknown,PML-RARα fusion protein blocks differentiation of promyelocytes,"Severe bleeding tendency, Petechiae, Ecchymoses, Gingival bleeding, Fatigue","CBC, Peripheral blood smear (hypergranular promyelocytes with Auer rods), Molecular testing for PML-RARA","ATRA + Arsenic Trioxide, Aggressive supportive care",Disseminated Intravascular Coagulation (DIC)
Thrombocytopenia,Primary Immune Thrombocytopenia (ITP),Unknown Subtype,Autoimmune disorder causing low platelet count,Autoantibodies against platelet antigens,"Unknown, sometimes follows viral infection",Accelerated platelet destruction by reticuloendothelial system,"Petechiae, Easy bruising, Prolonged bleeding from cuts, Epistaxis, Gingival bleeding","CBC, Peripheral blood smear, Bone marrow biopsy (in selected cases)","Corticosteroids, Thrombopoietin receptor agonists, Rituximab, Splenectomy (refractory cases)",None
Thrombocytopenia,Heparin-Induced Thrombocytopenia (HIT),Unknown Subtype,Complication of heparin therapy causing low platelets and increased thrombosis risk,Antibodies against platelet factor 4-heparin complexes,Heparin therapy (more common with unfractionated heparin),"Antibody-mediated platelet activation and clearance, paradoxical increase in thrombosis risk","Thrombocytopenia, Venous or arterial thrombosis","4T score, HIT antibody test (ELISA), Serotonin release assay","Discontinue all heparin, Start non-heparin anticoagulant (e.g., argatroban)","Venous thromboembolism, Arterial thrombosis"
Hemophilia,Hemophilia A,Unknown Subtype,X-linked recessive bleeding disorder due to factor VIII deficiency,Mutations in F8 gene on X chromosome,"Family history, Male gender",Insufficient factor VIII leads to impaired clot formation,"Easy bruising, Prolonged bleeding from cuts, Hemarthrosis, Intramuscular hematomas","Factor VIII activity assay, PT/aPTT, Genetic testing","Factor VIII replacement therapy, Prophylaxis in severe cases, Desmopressin in mild cases",Von Willebrand Disease
Hemophilia,Hemophilia B,Unknown Subtype,X-linked recessive bleeding disorder due to factor IX deficiency,Mutations in F9 gene on X chromosome,"Family history, Male gender",Insufficient factor IX leads to impaired clot formation,"Easy bruising, Prolonged bleeding from cuts, Hemarthrosis, Intramuscular hematomas","Factor IX activity assay, PT/aPTT, Genetic testing","Factor IX replacement therapy, Prophylaxis in severe cases",None
Polycythemia,Polycythemia Vera,Unknown Subtype,Myeloproliferative neoplasm with increased red blood cell production,JAK2 V617F mutation (most cases),"Advanced age, Exposure to ionizing radiation",Uncontrolled proliferation of erythroid progenitors,"Headache, Dizziness, Pruritus, Erythromelalgia, Thrombosis","CBC, JAK2 mutation analysis, Bone marrow biopsy","Phlebotomy, Low-dose aspirin, Hydroxyurea (high-risk patients)","Thrombosis, Leukemia (rare)"
Thalassemia,Beta Thalassemia,Unknown Subtype,Inherited hemoglobin disorder with reduced or absent beta-globin chain production,Mutations in HBB gene,"Family history, Ethnic background (Mediterranean, Middle Eastern, Asian)",Imbalance in alpha/beta globin chain ratio leads to ineffective erythropoiesis,"Anemia, Fatigue, Jaundice, Splenomegaly, Growth retardation (severe cases)","CBC, Hemoglobin electrophoresis, Genetic testing","Regular blood transfusions, Iron chelation therapy, Stem cell transplantation (severe cases)","Iron overload, Osteoporosis"
Sickle Cell Disease,Sickle Cell Anemia,Unknown Subtype,Inherited hemoglobin disorder with abnormal hemoglobin S,Mutations in HBB gene,"Family history, African ancestry","Abnormal hemoglobin S polymerizes under low oxygen conditions, causing RBC sickling","Pain crises, Anemia, Fatigue, Increased infections, Stroke risk","CBC, Hemoglobin electrophoresis, Genetic testing","Hydroxyurea, Pain management, Prophylactic antibiotics, Blood transfusions","Acute chest syndrome, Stroke, Priapism"
Multiple Myeloma,Unknown Type,Unknown Subtype,Cancer of plasma cells,Unknown,"Advanced age, Male gender, African American race, Radiation exposure, Family history",Malignant plasma cells produce abnormal antibodies and suppress normal antibody production,"Bone pain, Fatigue, Anemia, Hypercalcemia, Renal insufficiency","Serum/urine protein electrophoresis, Bone marrow biopsy, Imaging studies (X-ray, MRI, PET-CT)","Chemotherapy, Targeted therapy, Immunomodulators, Stem cell transplantation","Amyloidosis, Renal failure"
Von Willebrand Disease,Unknown Type,Unknown Subtype,Inherited bleeding disorder due to deficient or defective von Willebrand factor,Mutations in VWF gene,Family history,Reduced or dysfunctional von Willebrand factor impairs platelet adhesion and factor VIII stability,"Easy bruising, Mucosal bleeding, Menorrhagia, Prolonged bleeding after surgery","VWF antigen assay, VWF activity assay, Factor VIII activity, Genetic testing","Desmopressin (DDAVP), VWF replacement therapy, Antifibrinolytics",Hemophilia
Aplastic Anemia,Unknown Type,Unknown Subtype,Bone marrow failure syndrome with pancytopenia,"Idiopathic (most cases), Autoimmune, Radiation, Chemicals, Viruses","Exposure to toxins, Certain medications, Viral infections",Immune-mediated destruction of hematopoietic stem cells,"Fatigue, Pallor, Frequent infections, Easy bruising/bleeding","CBC, Peripheral blood smear, Bone marrow biopsy, Genetic testing (to rule out inherited forms)","Immunosuppressive therapy, Hematopoietic stem cell transplantation, Supportive care (transfusions)",Paroxysmal nocturnal hemoglobinuria
Essential Thrombocythemia,Unknown Type,Unknown Subtype,Myeloproliferative neoplasm with increased platelet production,"JAK2, CALR, or MPL mutations","Advanced age, Female gender",Uncontrolled proliferation of megakaryocytes leading to excessive platelet production,"Often asymptomatic, Headache, Visual disturbances, Erythromelalgia, Thrombosis risk","CBC, Peripheral blood smear, JAK2/CALR/MPL mutation analysis, Bone marrow biopsy","Low-dose aspirin, Hydroxyurea (high-risk patients), JAK inhibitors","Thrombosis, Progression to myelofibrosis or AML (rare)"
